race,step,count
black,0,34923
hispanic,0,41247
white,0,6463
asian,0,5110
multiple-race,0,2913
other,0,1649
black,1,9893
hispanic,1,11889
white,1,1428
asian,1,1162
multiple-race,1,854
other,1,210
black,2,20317
hispanic,2,23581
white,2,4198
asian,2,3147
multiple-race,2,1715
other,2,1119
black,3,4103
hispanic,3,5085
white,3,752
asian,3,724
multiple-race,3,290
other,3,201
black,4,7011
hispanic,4,8754
white,4,1128
asian,4,973
multiple-race,4,591
other,4,91
black,5,801
hispanic,5,590
white,5,45
asian,5,43
multiple-race,5,56
other,5,0
black,6,3230
hispanic,6,3458
white,6,368
asian,6,294
multiple-race,6,290
other,6,49
black,7,1124
hispanic,7,809
white,7,110
asian,7,52
multiple-race,7,93
other,7,14
black,8,1197
hispanic,8,947
white,8,134
asian,8,73
multiple-race,8,113
other,8,9