cd_num,council_num,intakes,foster,pct_foster,median_income,pct_poverty,pct_white,pct_black,pct_hispanic
bronx-1,8,1421,65,4.6,21663,37.1,1.6,25.9,70.9
bronx-2,17,791,41,5.2,21663,38.5,1.3,22.1,74.8
bronx-3,16,1278,42,3.3,22145,39.6,1.2,57.7,39.4
bronx-4,16,1548,64,4.1,27166,39.6,1.5,63.1,32.3
bronx-5,14,1258,42,3.3,25600,36,1.4,28.7,66.8
bronx-6,15,1297,43,3.3,22145,38.5,7.5,25.9,64.2
bronx-7,11,1075,28,2.6,31153,18.4,7.2,18.8,65.3
bronx-8,11,490,14,2.9,55027,18.4,38.5,11.2,43.4
bronx-9,18,1662,50,3,36711,29.2,2.8,30.8,57.7
bronx-10,13,655,19,2.9,53541,15.4,34.5,22.2,36.6
bronx-11,13,621,18,2.9,46658,15.4,27.4,20.3,42.2
bronx-12,12,1462,45,3.1,47034,17.6,7.1,65,22.9
brooklyn-1,33,486,10,2.1,48627,29.3,60.8,5.2,27.2
brooklyn-2,33,395,15,3.8,73440,29.3,46.1,28,14.2
brooklyn-3,36,1000,46,4.6,36321,30,10.9,64.6,19.9
brooklyn-4,34,646,23,3.6,38075,26,8.5,20.1,65.4
brooklyn-5,42,1880,36,1.9,33980,31.8,3.4,51.6,36.7
brooklyn-6,39,363,19,5.2,92780,14.7,62.7,10.5,18.2
brooklyn-7,38,501,9,1.8,43233,29.9,23.3,2.9,45.5
brooklyn-8,35,598,23,3.8,40674,21.6,16.7,65.5,11.9
brooklyn-9,40,422,12,2.8,41543,22.4,19.1,68,9.3
brooklyn-10,43,389,9,2.3,55922,15.7,61.5,1.4,14.4
brooklyn-11,47,662,10,1.5,44906,20.5,49.9,0.7,13.3
brooklyn-12,44,483,0,0,39574,27.4,65.4,2.3,13
brooklyn-13,48,706,19,2.7,31069,17.8,57,12.9,16.7
brooklyn-14,45,682,17,2.5,43488,13.7,37.1,35.4,15.7
brooklyn-15,48,503,7,1.4,50910,17.8,71.9,3.3,8.2
brooklyn-16,42,1382,45,3.3,28109,31.8,1,76.2,20.1
brooklyn-17,45,970,44,4.5,46953,13.7,1.4,88.4,6.8
brooklyn-18,46,943,38,4,64440,11.3,26,59.6,8.4
manhattan-1,1,98,0,0,113477,18.2,66.9,4.3,7.9
manhattan-2,3,34,0,0,113477,10.9,75.3,1.8,6.2
manhattan-3,2,712,25,3.5,42656,17.3,32.4,6.9,24.6
manhattan-4,3,272,15,5.5,90771,10.9,60.1,6.2,17.7
manhattan-5,4,158,12,7.6,90771,7.6,67.7,4.1,7.7
manhattan-6,4,148,0,0,101079,7.6,72.6,3.5,7.6
manhattan-7,6,494,17,3.4,99298,8.4,67.4,7.6,15
manhattan-8,5,292,0,0,103176,7.8,79,3.2,7.1
manhattan-9,7,586,17,2.9,40739,26.8,23,24.6,42.7
manhattan-10,9,1071,39,3.6,36614,28.4,9.5,63,22.2
manhattan-11,8,1257,50,4,30836,37.1,12,31.2,49.2
manhattan-12,10,669,21,3.1,39281,25.4,17.6,7.3,71
queens-1,22,720,29,4,50887,15,45.3,9.8,27.6
queens-2,26,391,7,1.8,56064,17.4,28.7,1.9,34.6
queens-3,25,870,21,2.4,49434,19.3,11.9,6.2,64.2
queens-4,21,829,17,2.1,45651,23.2,7.2,5.3,52.3
queens-5,34,638,11,1.7,55243,26,54.9,1.4,34.7
queens-6,29,209,0,0,64646,10.6,55.3,2.5,13.6
queens-7,20,705,10,1.4,53489,19.1,29.8,2.2,16.6
queens-8,23,576,13,2.3,58384,9,35,12.6,17
queens-9,32,718,14,1.9,59697,11.6,19.6,8.4,40.9
queens-10,32,525,17,3.2,62005,11.6,25.9,17.1,23.1
queens-11,19,251,0,0,76157,7.4,47,2.1,10
queens-12,27,1714,43,2.5,53498,13.3,1.7,65.3,17.3
queens-13,23,923,30,3.3,77697,9,13.1,55.2,11.8
queens-14,31,924,24,2.6,49626,17.1,35.2,38.8,21
staten-1,49,1689,63,3.7,58896,21.2,39.6,22,28.5
staten-2,50,539,10,1.9,73574,8.1,70.7,3,13.2
staten-3,51,456,13,2.9,85451,6.4,85.4,1,8.4