borough,cd-1,cd-2,intakes,foster,pct-foster
Bronx,Mott Haven,Melrose,1421,65,4.6
Bronx,Hunts Point,Longwood,791,41,5.2
Bronx,Morrisania,Crotona,1278,42,3.3
Bronx,Highbridge,Concourse,1548,64,4.1
Bronx,Fordham,University Heights,1258,42,3.3
Bronx,Belmont,East Tremont,1297,43,3.3
Bronx,Kingsbridge,Bedford Park,1075,28,2.6
Bronx,Riverdale,Fieldstone,490,14,2.9
Bronx,Parkchester,Soundview,1662,50,3
Bronx,Throgs Neck,Co-op City,655,19,2.9
Bronx,Morris Park,Bronxdale,621,18,2.9
Bronx,Williamsbrdg,Bayc,1462,45,3.1
Bronx,Unspecified,,314,0,0
Bronx,Total,,13872,475,3.4
Brooklyn,Greenpoint,Williamsburg,486,10,2.1
Brooklyn,Fort Greene,Brooklyn Heights,395,15,3.8
Brooklyn,Bedford Stuyvesant,,1000,46,4.6
Brooklyn,Bushwick,,646,23,3.6
Brooklyn,East New York,Starrett City,1880,36,1.9
Brooklyn,Park Slope,Carroll Gardens,363,19,5.2
Brooklyn,Sunset Park,,501,9,1.8
Brooklyn,Crown Heights,,598,23,3.8
Brooklyn,South Crown Heights,Prospect,422,12,2.8
Brooklyn,Bay Ridge,Dyker Heights,389,9,2.3
Brooklyn,Bensonhurst,,662,10,1.5
Brooklyn,Borough Park,,483,0,0
Brooklyn,Coney Island,,706,19,2.7
Brooklyn,Flatbush,Midwood,682,17,2.5
Brooklyn,Sheepshead Bay,,503,7,1.4
Brooklyn,Brownsville,,1382,45,3.3
Brooklyn,East Flatbush,,970,44,4.5
Brooklyn,Flatlands,Canarsie,943,38,4
Brooklyn,Unspecified,,165,0,0
Brooklyn,Total,,13176,384,3
Manhattan,Financial District,,98,0,0
Manhattan,Greenwich Village,Soho,34,0,0
Manhattan,Lower East Side,Chinatown,712,25,3.5
Manhattan,Clinton,Chelsea,272,15,5.5
Manhattan,Midtown,,158,12,7.6
Manhattan,Stuyvesant Town,Turtle Bay,148,0,0
Manhattan,Upper West Side,,494,17,3.4
Manhattan,Upper East Side,,292,0,0
Manhattan,Morningside Heights,Hamilton,586,17,2.9
Manhattan,Central Harlem,,1071,39,3.6
Manhattan,East Harlem,,1257,50,4
Manhattan,Washington Heights,Inwood,669,21,3.1
Manhattan,Unspecified,,128,0,0
Manhattan,Total,,5919,206,3.5
Queens,Astoria,,720,29,4
Queens,Woodside,Sunnyside,391,7,1.8
Queens,Jackson Heights,,870,21,2.4
Queens,Elmhurst,Corona,829,17,2.1
Queens,Ridgewood,Maspeth,638,11,1.7
Queens,Rego Park,Forest Hills,209,0,0
Queens,Flushing ,Whitestone,705,10,1.4
Queens,Hillcrest ,Fresh Meadows,576,13,2.3
Queens,Ozone Park,Woodhaven,718,14,1.9
Queens,South Ozone Park,Howard Beach,525,17,3.2
Queens,Bayside,Little Neck,251,0,0
Queens,Jamaica,Hollis,1714,43,2.5
Queens,Queens Village,,923,30,3.3
Queens,Rockaway,Broad Channel,924,24,2.6
Queens,Unspecified,,248,0,0
Queens,Total,,10241,245,2.4
Staten Island,Saint George,Stapleton,1689,63,3.7
Staten Island,South Beach,Willowbrook,539,10,1.9
Staten Island,Tottenville,Great Kills,456,13,2.9
Staten Island,Unspecified,,33,0,0
Staten Island,Total,,2717,86,3.2
Outside NYC,,,2888,167,5.8